id,Réseau Social,Class,Commentaire client
327,Facebook,9,تطبيق my idoom مليح بصح لوكان تزيدو فيه خدمة التوقيف المؤقت للأنترنت و إعادة التشغيل يولي فوووور وتنقصو علينا نروحو للوكالة
328,Facebook,9,"bonsoir a vous je me permet de signaler le manque de professionnalisme au niveau de l'actel beb ezzouar, comme mes appels sortant du fixe sont restreint, j'ai procédé au paiement des factures en utilisant l'application My Idoom ""carte dahabia"", opération effectué pas succès, sauf que ma ligne sauf que ma ligne ne s'est pas rétablie."
329,Facebook,9,انا طلعت ديبي من apk my idoom مزادولي والو لحد الساعة🫤
330,Facebook,9,لقد قمت برفع التدفق من 10الى 15ميغابايت عبر تطبيق my Idoom يزم امس ولم اتحصل على الشهر . أين المشكل ؟؟؟
331,Facebook,9,السلام عليكم.لم انجح في دفع فواتير الهاتف و الانترنت باستعمال My idoom !
332,Facebook,9,Pas de bonus jai recharger internet adsl via baridi mob je vois sur lapps my idoom que ya rien juste les journées que jai payer pas de bonus
333,Twitter,9,هل يمكن رفع التدفق عن طريق تطبيق my idoom
334,Facebook,9,"أنا قمت برفع سرعة التدفق فقط عن طريق ، تطبيق ""my idoom"" وفي حدود 48 استفدت من شهر انترنت مجاني ، ورفع في سرعة التدفق بكبسة زر، شكرًا على قربكم"
335,Facebook,9,قمت برفع التدفق من 10 ميغا الى 15 ميغا على تطبيق my idoomy ولكن سرعة التدفق لم ترتفع كما ان رصيد الإضافي المهدى لم يضف للحساب
336,Facebook,9,تطبيق my idoom لا يعمل خاصة عند الدخول لفضاء الزبون
337,Facebook,9,موقع فضاء الزبون لايعمل لكي اسجل فيه
338,Facebook,9,سلام عليكم كاين مشكل في تطبيق my idoom مانقدرش ندخل لفضاء الزبون
339,Facebook,9,ولا نهار شفت زيادة بريدي موب فضاء الزبون جبربتهم كامل
340,Facebook,9,Amina Ben لا صاحبي هي بعد متروشارجي اونلين تستنى واحد ثلاثة ايام ولا وتعاود تدخل لفضاء الزبون ضك تلقى بلي فعلولك البونيس
341,Facebook,9,Amina Ben لا داعي للمطالبة بيه فهو يزداد أتوماتكيا بعد الدفع الالكتروني بعد مرور بضعت أيام...يمكنك التاكد من خلال فضاء الزبون
342,Instagram,9,السلام عليكم بغي نفتح فضاء الزبون ومحبش يفتح في 4Gألتيو خطرش بغي نعرف مدة التعبئة كم يوم
343,Facebook,9,فضاء الزبون لا يعمل، حاولت جاهدا التسجيل فيه لا يعمل، تملأ المعلومات و بعدها لا يمكن الوصول الى الموقع.
344,Facebook,9,Tebech Habib عندك دير كيما انا خويا كنت حاسب المشكل فالهاتف فورماطيت راحلي كلش من بعد لقيت المشكل فيهم و راه اكثر من شهر هدا المشكل باقي ما تقدرش تدخل لا في تطبيق ماي ادوم او فضاء الزبون
345,Facebook,9, إذا كنتم تواجهون أي خلل يتعلق بخدمة My Idoom أو فضاء الزبون، يمكنكم التواصل معنا عبر الرسائل الخاصة للحصول على المساعدة اللازمة🙏
346,Facebook,9,من فضلك كيف نغير فضاء الزبون من حساب ADSL إلى حساب FTTH وشكرا
347,Facebook,9,فضاء الزبون لا يشتغل رانا في 2025 ياو
348,Facebook,9,فضاء الزبون لا يعمل تطبيق my idoom لا يعمل 2025 نفس المشاكل نفس الاعطاب نفس الروتين لا حول ولا قوة الا بالله 🤦🏻‍♂️
349,Facebook,9,لا يعمل منذ الصباح ونفس الشيء فضاء الزبون على المتصفح
350,Facebook,9,بالفعل بدأنا بفضاء الزبون المعطل في الموقع و في التطبيقواش نزيدوا ، اخطونا برك من انقطاع الانترنات ، رانا خاطينكم
351,Facebook,9,السلام عليكم .. يوجد خلل تقني بالدخول لفضاء الزبون من خلال تطبيق my idoom ارجوا منكم حل المشكلة وانا على يقين انكم ستبذلون قصار جهدكم خلال وقت وجيز للإنتباه للإنشغال 
352,Facebook,9,كيف تسجيل في فضاء الزبون
353,Youtube,9, على منقدرش  نسجل في فضاء الزبون للعلم أنا جديد   الموقع نتاعكم حابس 
354,Facebook,9,أين المودم ZTE هذا الذي اصبح كأنه قمر صناعي منذ اكثر من عام وانتم عن قريب عن قريب عن قريب حتى اصبح بعيد كل البعد حتى للأقمار الصناعية في هذا العام عدد كبير التي ارسلت للفضاء وانتم مع المودم تجولون هههههههههههه في الجزائر يخلق عالم جديد العالم الرابع
355,Facebook,9,علاه كي نحب نسجل في فضاء الزبون تخرجي باجة كحلة #algerietelecom
356,Facebook,9,لا اتمكن من الولوج الى حسابي في الفضاء الزبون ولا حتى بفتح حساب جديد
357,Facebook,9,تطبيق my idoom متوقف من مدة لانستطيع الدخول اليه لمعرفة فاتورة الهاتف والايام المتبقية للانترنات لفضاء الزبون يجب النظر اليه والقيام باصلاحه
358,Facebook,9,Algérie Télécom - إتصالات الجزائر كان من الافضل الولوج الى حساب فضاء الزبون برقم الهاتف الثابت و رقم الهاتف المحمول فقط !
359,Facebook,9,واش بيه التطبيق My Idoom لا يعمل و الدخول لفضاء الزبون عبر صفحة الويب ايظا لا يعمل 
360,Facebook,9,يا ليلى راني حاصل في فضاء الزبون ونسيت كلمة السر وإمايل واريد فتح حساب جديد ما الحل من فضلكم وشكرا
361,Instagram,9,كيف ارفع تدفق الانترنت من فضاء الزبون
362,Facebook,9,هناك عدة مشاكل لا زال لم يتم التحكم فيها ولا اريد أن اكتب كلام آخرأولا عندما يتغير تدفق الزبون نجد في الفاتورة تغيير لكن في الواقع العكس لازم تغيير port مثلما تغير التدفق ثانيا تطبيق my idoom او فضاء الزبون لا تستطيع استعمالهم لانهم بكل بساطة تطبيقات لا يتم متابعتهم من طرف مختصين 
363,Facebook,9,سقمونا فضاء الزبون تاع ماي إيدوم ماراهش يفتح
364,Facebook,9,عندي مشكل بفضاء الزبون منقدرش ندخل لحسابي يقولي خطأ في اسم المستخدم او كلمة المرور مع العلم المعلومات نتاعي صحيحة 100%
365,Instagram,9,دفع الكتروني و منصة فتح فضاء الزبون من نهار الخميس لا تعمل
366,Facebook,9,اخدمونا فضاء الزبون باش نعرفو واش كاين ومن بعد اهدرونا على الامور الاخرى
367,Facebook,9,تطبيق MyIdoom لا يعمل. أعدت تثبيته عدة مرات ولم يتجاوز نافذة Speedtest. ثم هناك سؤال يحيرني لماذا تجبروننا على قياس السرعة في فضاء الزبون؟ ولماذا فقط قياس سرعة التحميل دون سرعة الرفع التي يشتكي منها الكثير ومنهم أنا ورغم الشكايات المتعددة وعلى كل المستويات لا يوجد حل، حتى بلغت مرحلة اليأس من وجود حل من طرفكم، حتى محاولة إلغاء الاشتراك وإعادته من أجل الحصول على خط جديد ربما لا يوجد به تقييد للرفع - الذي لا يتجاوز أبدا 48 ميغا رغم أنه من المفروض أن يصل 75 ميغا في اشتراكي 300 ميغا - لم تقبلوا به.
368,Facebook,9,تقولو الدفع الالكتروني و التطبيق تاعكم my idoom ميتتقولو الدفع الالكتروني و التطبيق تاعكم my idoom ميت ما يمشيش خاصة فضاء الزبون 🥴 ما يمشيش خاصة فضاء الزبون 🥴
369,Facebook,9,فضاء الزبون عنده عدة ايام خارج الخدمة يرجى منكم معالجة الامر
370,Facebook,9,أبسط بحاجة ماتمشيش عندي عام ماقدرتش ندخل فضاء الزبون
371,Facebook,9,فضاء الزبون في تطبيق My idom لا يشتغل
372,Facebook,9,My idoom فضاء الزبون لايعمل
373,Facebook,9,اخدمونا. فضاء الزبون
374,Facebook,9,بصح تطبيق my idoom ميمشيش لازم تفتح فضاء الزبون في كروم ول متصفح 
375,Facebook,9,فضاء الزبون تسجيل جديد لا يفتح
376,Facebook,9,Algérie Télécom - إتصالات الجزائر تم تعبئة مبلغ اشتراك شهر ولم يتم إضافة ايام المهداة وتم التأكد عبر حسابي في منصة فضاء الزبون
377,Facebook,9,خلصت 6 أشهر بتطبيق بريدي موب و ماعطيتوليش 24 يوم، كي ندخل فضاء الزبون نلقى لحساب قد قد 😤
378,Instagram,9,خطي غير مفعل لا استطيع الولوج الى تطبيق ماي اوريدو او موقع فضاء زبون ما حل
379,Facebook,9,انا مانيش قادر ندخل لفضاء الزبون فالتطبيق
380,Facebook,9,Derkaoui Hadj Zoubir دير كيما درت أنا فضاء الزبون من غوغل تهنيت وخليك من التطبيق
381,Facebook,9,Menas Soffianne فضاء الزبون
382,Facebook,9,واش نبلغ عندي تقريب عام وانا نشكي في وكالة على مشكل فضاء زبون كي نسجل يقلي تأكيد بريد الإكتروني محبوش يصلحوهلي
383,Facebook,9,فضاء الزبون لا يعمل من مدةعلاه تخدمو حاجة و ما تكملوهاش
384,Instagram,9,شكون مراهش يمشي عندو فضاء الزبون في تطبيق
385,Facebook,9,فضاء الزبون لا يعمل عندي
386,Facebook,9,كي يولي التطبيق و فضاء الزبون يمشي قبل
387,Facebook,9,قمت بتعبئة ستة اشهر باشتخدام بريدي موب لكن لم تظهر لي الزيادة في موقع فضاء الزبون
388,Facebook,9,هل تطبيق ماي ايدوم يعمل ام لا.. لانه عندما اريد ان ادخل لفضاء الزبون من تطبيق برقم هاتف ثابت و رقم سري لا يفتح و يبقى يدور اما اذا دخلت لفضاء الزبون من صفحة واب يفتح عادي اين خلل ؟ مع علم اني حذفت التطبيق و اعدت تثبيته
389,Facebook,9,كذالك الانترنات كانت السرعة النات رفعناها من10الى20mbpsلقد عبئنا عبر الفضاء الاكتروني 2200دج قبل الانتهاء ولم نستفيد من البونيس
390,Facebook,9,Algérie Télécom - إتصالات الجزائر مساء الخير، فضاء الزبون معطل و لا يمكنني الولوج الى الموقع.
391,Facebook,9,المشكلة انني لا استطيع الولوج إلى فضاء الزبون علما انني سجلت فيه من قبل لكنني لم اتذكر الايمايل الذي فتحت به الحساب ارجو منكم مساعدتي في الولوج إلى حسابي في فضاء الزبون شكرا لكم Algérie Télécom - إتصالات الجزائر تم ارسال جميع المعلومات في الخاص
392,Facebook,9,تطبيق ماي ايدوم مايدخلش فضاء الزبون
393,Facebook,9,أين هي الفواتير في فضاء الزبون؟
394,Facebook,9,الفضاء مابقاش يخرج الفواتير والعمليات وخدمة الدفع الالكتروني راهي تدي دراهم وماتتخلصش الانترنت
395,Facebook,9,المشكل لما كنت اتعامل مع الموقع والنت 4g كل مرة مشكل لما تحاول الدخول حتى تسمحفضاء الزبون كارثة مع انه مهم
396,Facebook,9,فضاء لا يقدم هدايا للزبائن منصة متخلف وقديمة و قليلة الخدمات
397,Facebook,9,My idoooماشفتوهاش راهي بلوكي جايين لفضاءالزبون
398,Facebook,1,تم 
399,Twitter,1,"Nous sommes en attente, khir nchalah"
400,Instagram,1,إن شاء الله يكون عرض صحاب 300 و 500 ميجا فيبر ياربي
401,Facebook,1,اتمنى لكم مزيد من التألق 
402,Facebook,1,الجديد الذي يفرحنا هو الانتقال من ال Idoom ADSL الى Idoom Fibre
403,Facebook,1,أوووووو شوقتونا 
404,Instagram,1,صرحة .الانترنت الخاصة بالالياف البصرية راهي مشاء الله ...جزاكم الله خيرا واصلو وزيدو في المثابرة . بالتوفيق
405,Facebook,1,Very remarkable improvements in Algérie Télécom - إتصالات الجزائر 👍
406,Instagram,1,تجديد عرض. 300؟ 😍
407,Facebook,1,شكرا لكم ونرحو ان يجسد في ارض الواقع و هذا العرض سوف يلقى رواج كبير جدا و يكون ناجح الف بالمئة لو يجسد حقيقتا
408,Facebook,1,موفقون يعطيكم الصحة والعافية عمال إتصالات الجزائر
409,Facebook,1,مشكورين كل شكر على المجهود الجبار لتوفير النت وصهر على راحت المواطن .شكرا
410,Linkedin,1,Très bonne initiative. Les Hackathons sont un moyen efficace.
411,Linkedin,1,Cela vaut la peine d’y assister
412,Facebook,1,صح تلت ايام زيادة كل شهر بونيس❤️
413,Facebook,1,Algérie Télécom - إتصالات الجزائر شكرا اتمنى لكم دوام الصحة والعافية
414,Facebook,1,Algérie Télécom - إتصالات الجزائر شكرا لكي ولعمال اتصالات الجزائر على العمل الجبار الذي تقمون به
415,Instagram,1,I hope the service meets the expectations set by the advertisement.
416,Facebook,1,Si Fou مداير تاع 300 توصلني 300/310
417,Facebook,1,مشكورين على الخدمة
418,Facebook,1,شكرا لكم.
419,Facebook,1,مؤسسة اتصالات الجزائر تحية خالصة لكم
420,Facebook,1,واصلوا العمل خدماتكم روووعة
421,Facebook,1,انا عندي فيبر 300 ميغا 🚀رووووعة 😍😍
422,Facebook,1,قطاع الاتصالات في الجزائر بصراحة دارو قفزة نوعية
423,Facebook,1,بالتوفيق انشاءالله
424,Linkedin,1,Bonne continuation à l'équipe Algérie Télécom
425,Facebook,1,مشكور اخي من أجل الرد لأن هذا في حد ذاته اهتمام فشكرا مرة اخرى
426,Facebook,1,المديرية العملياتية للاتصالات غليزان برافو
427,Facebook,1,يشرفنا ويزيدنا فخرًا أن يتم مشاركة منشورنا عبر الصفحة الرسمية لاتصالات الجزائر. شكراً لهذه الثقة الكبيرة والدعم المستمر، الذي يحفزنا على تقديم الأفضل دائمًا. كل التقدير والاحترام!
428,Instagram,1,❤️👏
429,Linkedin,1,Best of luck
430,Linkedin,1,ي التوفيق والنجاح ان شاء الله
431,Linkedin,1,"e plus en plus de succès A/krim, bravo à toute l'équipe !"
432,Linkedin,1,لله ايبارك جنا المستوى و التوفيق من الله انشاء الله
433,Facebook,1,التطور ليس مجرد غاية نسعى إليها، بل هو طريق مستمر نرسمه بأيدينا، وبفضل جهودكم المخلصة وإبداعكم المتجدد، نحن قادرون على تحقيق أي هدف نضعه نصب أعيننا.
434,Linkedin,1,تحديث رائع
435,Linkedin,1, Si vous avez Adel avec vous c'est que le niveau est stratosphérique 👌🏻
436,Linkedin,1,ما شاء الله .بالتوفيق للجميع .
437,Facebook,1,برافو 👍
438,Facebook,1,Med Nl انا ايضا اخي
439,Facebook,1,اليوم و بعد الشكوى الثانية قامت فرقة تقنية تابعة لإتصالات الجزائر (سكيكدة) بالتدخل لإصلاح العطب أقل ما يمكن أن نقول عنه أنه تدخل إحترافي و نوعي وفي المستوى المطلوب.
440,Facebook,1,أحسنتم
441,Facebook,1,جمعة مباركة للجميع
442,Facebook,1,جمعة مباركة عليكم تحية لكل عمال اتصالات الجزائر 🌹
443,Facebook,1,إتصالات الجزائر إسم على مسمى، للتواصل معنى، شكرا لكم
444,Facebook,1,شكرا لكم بفضل اهتمامكم بانشغلاتنا وندعوا لكم بالتوفيق في عملكم وتفانيكم
445,Facebook,1,السلام عليكم وبالتوغيق
446,Facebook,1,Je confirme
447,Facebook,1,شكرا لاتصالات الجزائر على الخطوة العملاقة.تم ربط منزلنا بالخدمة رغم اننا في منطقة نائية ونحن الان نستمتع بالانترنت فائق فائق فائق السرعة.
448,TikTok,1,شكرا لكم انشاء الله المزيد من النجحات لأتصلات الجزائر 💙👌
449,Facebook,1,تتواصل العروض القيمة و الجميلة للفيبر .و لا ندري ما محل اعراب ايدوم 4جي
450,Linkedin,1,بالتوفيق ان شاء الله 
451,Linkedin,1,Bon travail 👏🏻
452,Linkedin,1,Good Work
453,Instagram,1,chapeau l chabiba❤️🔥
454,Facebook,1,قوة التدفق رهيبة بالفيبر والله يعطيكم صحة نشاله تعمم على جل بقاع الوطن
455,Linkedin,1,فرصة رائعة.
456,Linkedin,1,Événement intéressant Algérie Télécom
457,Linkedin,1,"entre Algérie Télécom d'hier et celle d'aujourd'hui une grande différence ,nous sommes tellement fière de ce qu'elle devienne grâce au génie de son leader Adel Bentoumi , actuellement les défis sont multiples, d'une part comment maintenir le haut niveau de performance qu'a été atteint sur plusieurs volets et aussi comment faire d'autres grands pas en avant dans un milieu en perpétuel mutation technologique ."
458,Linkedin,1,Wow great work 💯
459,Linkedin,1,Great opportunity!
460,Linkedin,1,"Très Ravi de voir Algérie Télécom à l'avant-garde de l'innovation technologique. Un partenariat gagnant pour le développement de notre pays et sa transformation digitale hashtag#FierDeNotreAlgérietelecom"""
461,Linkedin,1,Bravo la TEAM Algérie Télécom
462,Linkedin,1,"J’étais ravi de participer au dernier segment. Merci pour l’invitation Azzedine Harik, Adel Bentoumi et good job hashtag#AWSOME team Nicolas DAVID Said CHERFI Fatiha Bouabache 💪🏾"
463,Facebook,1,شكرا لكم ربي يوفق
464,Instagram,1, Bravo Belle initiative 
465,Instagram,1,Merci beaucoup pour vos encouragements chaleureux ! Nous sommes déterminés à continuer à progresser et à exceller dans tout ce que nous entreprenons. Votre soutien est une source d'inspiration pour nous.
466,Facebook,1,با توفيق
467,Facebook,1,Kolshi mebrouk ❤️
468,Linkedin,1,Said CHERFI Great insights in your interview about AWS and innovation at Algérie Télécom ! It reminded me of your leadership at Ericsson. Always inspiring to see your contributions!
469,Instagram,1,❤️❤️❤️❤️❤️❤️
470,Facebook,1,ألف مبروك للجزائر أولا ولمؤسستكم ثانيا ،حقيقة هناك تطور ملحوظ ونوعي في الخدمات
471,Facebook,1,فخورون بكم
472,Facebook,1,مبروك للجزائر
473,Facebook,1,المهم الاستمرارية والبحث عى ماهو احسن
474,Facebook,1,Toutes mes félicitations
475,Facebook,1,Félicitations 🎁
476,Facebook,1,حقيقة تستحقّون الجائزة إحترافيّة كبيرة و تطوّر و تقدّم كبير تشهده المؤسسة و مجهودات كبيرة تقوم بها المؤسسّة في تحسين الخدمات مبروك
477,Facebook,1,الف الف مبروووك لاتصالات الجزائر 👏
478,Facebook,1,مبروك عليكم و بالتوفيق للقادم ان شاءالله عز وجل
479,Facebook,1,Félicitations 🎉🥳 Algérie Télécom
480,Facebook,1,الف مبروووك..
481,Facebook,1,مبروك عليكم و بالتوفيق للقادم ان شاءالله عز وجل ????????????????? idoma fibre
482,Instagram,1,تستاهلو
483,Linkedin,1,Bien joué félicitations!
484,Linkedin,1,"Une victoire au prix de la qualité,méritée.Cette prestigieuse distinction est le fruit des efforts de top-management,de tout le staff et de tous les travailleurs et à leur tête Monsieur Adil Bentoumi."
485,Linkedin,1,Excellente nouvelle
486,Linkedin,1,Bravo à toute l'équipe d'AT vous méritez
487,Linkedin,1,Félicitations ! Félicitations à toute l'équipe AT
488,Linkedin,1,"Bravo, félicitations 👏👏"
489,Linkedin,1,"Very well deserved, bravo"
490,Linkedin,1,Big up to my company big up for all
491,Linkedin,1,Wishing you the best
492,Linkedin,1,Très bonne opportunité pour faire passer AT à un autre niveau de service.
493,Linkedin,1,La meilleure nouvelle de l’année !
494,Facebook,1,مبروك عليكم وعلى الجزائر ولمزيد من النجاحات في المستقبل
495,Youtube,1, bonne continuation pour Algérie Télécom mais que cette continuation soit plus rapide que possible 
496,Linkedin,1,Bien mérité
497,Linkedin,1,Félicitations à toutes les équipes AT
498,Linkedin,1,جميل جدا جدا بي التوفيق والنجاح ان شاء الله
499,Facebook,1,من السهل الوصول للقمة لكن من الصعب المحافظة عليها... مبروك 🎉
500,Facebook,1,#إتصالات Algérie Télécom - إتصالات الجزائر في القلب ♥️
501,Facebook,1,الف مبروووك والمزيد من النجاحات ان شاء
502,Facebook,1,En est fière Algérie Télécom toujours plus proches bonne continuation inchallah
503,Facebook,1,شكرا على الجهود المبذولة انترنت سريعة جداا ❤️
504,Facebook,1,تطور ملحوظ الحق يقال
505,Facebook,1,ألف ألف مبروك 👏
506,Facebook,1,شكرا لقد حل المشكل تلقائيا
507,Linkedin,1," Toujours à la hauteur , actuellement Algérie Télécom à su gagner sa place parmi les gourous des Télécommunications et ça fait un grand plaisir d'être parmi eux comme un apprenant, Bravooooooo "
508,Linkedin,1," Une prestigieuse distinction, félicitations !! "
509,Linkedin,1, C une fierté de faire partie de cette grande entreprise Algérienne de haute technologie et haute qualité 
510,Linkedin,1, BIG UP to our Great Company! And...to our Leaders! 
511,Linkedin,1," Félicitations ! À la certification global en ISO inchallah, mérité ce titre "
512,Facebook,1,أفضل مؤسسة وطنية بدون منازع
513,Facebook,1,مبروك علينا
514,Facebook,1, Honneur et Félicitations à tous le personnel d'Algérie Télécom.
515,Facebook,1,ألف مبروووك
516,TikTok,1,💪💪💪
517,Facebook,1,Bravo bravo bravo 👏
518,Instagram,1,C'est une bonne chose
519,Instagram,1,Finally bravo 👏 let's review this 🚀
520,Facebook,1,هاذ الشي كون دارتو دولة أجنبية يولو كامل منبهرين ويشكرو فيها وقابلين الفكرة بصح كي تولي في بلادك لا يستهزاو بيك ويضحكو عليك هذا هو حال الشعب المتخلف
521,Instagram,1,Morad yjib ghir les bons plans 👏 vraiment haja top c'est intéressant
522,Instagram,1,ما شاء الله ❤️
523,Instagram,1,"Bravo 👏, Game Changer 🔥🔥"
524,Instagram,1,مزيا درتو حاجة تصلح
525,Facebook,1,Hope more great stuff for my country. Good job on the collab🙌
526,Facebook,1,I love ittttt🫠😍❤️
527,Facebook,1,"Congratulations, So proud of you @djezzy.dz @algerietelecom and cant wait to review it and use it 🔥🔥"
528,Facebook,1,شكرا لكم مزيد من التقدم انشالله Algérie Télécom - إتصالات الجزائر
529,Facebook,1,تطور ملحوظ 
530,Facebook,1,فخر كبير لما نشوفو شركات اتصالات تتعاون لتحقيق مشاريع جديدة للشعب، دمتم في تقدم مستمر
531,Facebook,1,مبروك 
532,Facebook,1,بالتوفيق ان شاءالله ومزيد من النجاحاتاللهم صلي على النبي 
533,Facebook,1,من المروءة أن يقال للمحسن أحسنت
534,Facebook,1,ألف مبروك على هذا الإنجاز المتميز الذي يعكس تفانيكم وجهودكم المستمرة في تقديم الأفضل! حصولكم على جائزة اختيار الجودة - فئة الماس هو دليل واضح على التزامكم بتقديم خدمات ذات مستوى عالٍ تلبي تطلعات زبائنكم.
535,Facebook,1,ألف مبرووووك 
536,Facebook,1,بالتوفيق نشا المزيد من النجاحات
537,Facebook,1,مليون ترليون مبروك 
538,Facebook,1,مبروك . عروض نهاية السنة مكانش هذ العام ..
539,Facebook,1,Excellent
540,Facebook,1,هكذا يكون التنسيق بين الشركات
541,Facebook,1,مبادرة جيدة bravo
542,Facebook,1,Biskra pas encore c'est malheureux
543,Instagram,1,Ravie et toujours heureuse de voire mon Algérie et mes compatriotes évoluer . Bonne continuation. و تحيا الجزااااائر
544,Instagram,1,"Félicitations, après des mois de travail, belle récompense pour toutes les équipes ayant travaillé dessus🔥🔥🔥🔥🔥"
545,Facebook,1,"Bravo Algérie Telecom pour vos efforts , bravo à tout les employés"
546,Instagram,1,شكرا على البيان 🙌
547,Instagram,1,مشكورين على البيان و التنويه
548,Linkedin,1, J’adore 
549,Linkedin,1,Toujours plus proche 🦾
550,Facebook,1,تحسن كبير يعطيكم الصحة
551,Facebook,1,المزيد من التألق لشركتنا هكذا تكون الثقة بين الزبائن وإتصلات الجزائر
552,Facebook,1,و هذا في اطار تحسين الخدمة طبعا.... بالتوفيق
553,Facebook,1,إن تطور في الإنتاج ليس وليد الصدفة، بل هو ثمرة الإصرار والعمل الجماعي المتكامل، كل خطوة إلى الأمام تعزز مكانتنا وتفتح لنا آفاقًا جديدة نحو التميز ، لنواصل رحلتنا بروح التحدي والإبداع، فالمستقبل ملك لمن يجتهد ويؤمن بقدرته على تحقيق الأفضل✌🏻
554,Facebook,1,إتصالات الجزائر دائما أقرب تسعى دائما لتقديم الأفضل
555,Linkedin,1,Produit formidable
556,Linkedin,1,Congratulations team :)
557,Facebook,1,بالتوفيق و النجاح
558,Facebook,1,ممتاز نتمنى أن تنجي الشركتين ثمار هذه الشراكة المميزة جدا
559,Facebook,1,ياودي رجعولنا غير الكونكسيو باراكات ويكثر خيركم 🙂
560,Facebook,1,Algérie Télécom - إتصالات الجزائر وصلتني اليوم شكرا
561,Facebook,1,احسنتم انا كانت مقطوعة ورجعت
562,Facebook,1,ما يعجبني ردودكم على كل الزبائن خدمة في القمة دمتم دام تألقكم
563,Facebook,1,مع انني لست معنيا بهذا النوع من الاشتراك ولكن وددت ان اقول لكم شكرا لكم على هذا العمل الاحترافي، واصلوا على هذا المنوال 👏
564,Facebook,1,هكذا باعتذاركم انتم تتقربون من المواطن موفقين
565,Facebook,1,شكرا لكم دمتم أوفياء في خدمة الزبائن
566,Facebook,1,💙💚👏🎉
567,Facebook,1,شكرا لإحترامكم لزبائن و تعويضعه شكرا لكم
568,Facebook,1,Félicitations j'ai eu le plaisir de voter avec une note complète 10 /10 le mois de novembre
569,Linkedin,1," Félicitations pour ce prix bien mérité ! Merci à vous pour ce court-métrage émouvant et puissant, réalisé avec la participation d’une jeune agence prometteuse, qui a su être à la hauteur. Une belle réussite à tous les niveaux ! "
570,Linkedin,1, Un grand bravo à toutes les équipes managériales et techniques d'Algérie Télécom pour leur gestion diligente de leurs projets. 
571,Linkedin,1, Plus de succès pour notre famille Algérie Télécom ainsi que pour notre PDG qui veille toujours pour la continuité 
572,Linkedin,1, Enfin !!!....félicitations...certainement çela va déplaire le personnel du secteur des domaines.....bonne continuation. 
573,Facebook,1,شكراً لكم، لقد تم حل المشكل لفضاء الزبون الخاص بحساب
574,Facebook,1,شكرا لكم لحقني الميساج
575,Facebook,1,"Barakallahou fikoum AT, je vous critique des fois mais je dois vous dire bravo pour ce geste."
576,Linkedin,1,Félicitations ! Je vous souhaite beaucoup de succès
577,Linkedin,1,"Bonne initiative,"
578,Linkedin,1,"Bravo a toutes et a tous, projet réussi ,honneur a l'ensemble des équipes d'AT notamment la Division et les Départements Corporate. Plus de réussites In Chaa El Lah...."
579,Linkedin,1,Bien joué. 🌼 
580,Linkedin,1,Toutes mes felicitations
581,Youtube,1, ديما ناجحين و يد و قلب واحد و شركة وحدة توحدنا 
582,Facebook,1,المزيد من النجاحات و التقدم
583,Facebook,1,Algérie Télécom - إتصالات الجزائر شكرا لكم على الرد
584,Linkedin,1,Bravo 🎩
585,Linkedin,1,Félicitations à Algérie Télécom pour son engagement continu à soutenir l'excellence et l'innovation en Algérie.......... C'est une fierté de voir une entreprise nationale jouer un rôle aussi important dans la valorisation de nos talents et de nos 
586,Linkedin,1,Bonjour 👋
587,Linkedin,1,Cela vaut la peine d’y assister !et très intéressant félicitations
588,Facebook,1,ام اللغات لغة العلم
589,Facebook,1,كلمات جميلة ..**اللغة العربية تعتبر من ادق اللغات تركيبا واعذبها بيانا ويكفيها فخرا ان نزل بها القران **..
590,Facebook,1,اجتماع مذهل للحروف:عسل لسع  أربع كلمات من نفس الحروف تجتمع في موضوع واحد ما أجمل لغتي!
591,Facebook,1,""" قُرْآنًا عَرَبِيًّا غَيْرَ ذِي عِوَجٍ""..."
592,Facebook,1,لغة القرآن
593,Facebook,1,تحيا اللغة العربية
594,Facebook,1,صاحبة الجلالة اللغة العربية
595,Facebook,1,فلتحيا لغتنا لغة الضاد صاحبة الشأن والرقي العربية
596,Facebook,1,نحتفي بلغة الضاد التي تعد من أعرق وأجمل اللغات في العالم، هي لغة القرآن الكريم، وجسر يربط بين حضارات الماضي والحاضر، تحمل في طياتها إرثًا ثقافيًا وأدبيًا غنيًا، وتجمع بين الأصالة والحداثة.
597,Facebook,3,إشهار بدون معنه
598,Facebook,3,Algérie Télécom - إتصالات الجزائر تدركون توصلها لناس نهار يوصل 80 عام في عمرو كلفو في كل ولاية مدير يوصل الجميع بالفيبر ماشي كل عام تزيدو 1000 شخص
599,Facebook,3,Ibrahim KH لاتقلق عن قريب سنة 2045
600,Facebook,3,Amir Prince الميساج لي يهبلوك بيه  يرجى تزويدنا بحالة اضواء المودام من فضلكم   ADSLنصف دائرة وسهم او   INTERNET كرة ارضية ا  من الافضل ارسال صورة او فيديو قصير   و حالة خطكم الهاتفي حالة خطكم الهاتفي ( هل يمكنكم اجراء واستقبال مكالمات أو يوجد تشويش في الخط؟) هذا هو الميساج لي يخرجولك عقلك بيه 
601,Facebook,3,Adsl حنا تابعين لمالي
602,Facebook,3,زعما كي طلقتولي الفيبر درتو لمنشور هذا 😅 لبارح حطيت كمنتار غسلتكم فيه ليوم صباح نضت صبتها جات 
603,Facebook,3,ما شفنا والو رانا تابعين لتونس
604,Instagram,3,🤔🤔🤔🤔
605,Facebook,3,اخمج وافسد شركة . تحيا اوريدو
